Location,Age,year,Female,Male
More developed regions,10-14,1995,0.03350377945753668,0.035073707972774225
More developed regions,10-14,2000,0.032935278084689754,0.03457451060746692
More developed regions,10-14,2005,0.02971268939989117,0.031268245322994936
More developed regions,10-14,2010,0.026891691394658752,0.028278186671504283
More developed regions,10-14,2015,0.02611531418831006,0.027478495868676185
More developed regions,10-14,2020,0.027097963882994347,0.028525743222760278
More developed regions,10-14,2025,0.026788097092318233,0.028192698879908107
More developed regions,10-14,2030,0.025844318231301826,0.027166238468189934
More developed regions,10-14,2035,0.025004561176045867,0.026274703135371825
More developed regions,10-14,2040,0.024411387734493337,0.025649590243523517
More developed regions,10-14,2045,0.02418840015570261,0.02541767224601012
More developed regions,10-14,2050,0.02439077747654132,0.025633833628927034
More developed regions,10-14,2055,0.024688828762214704,0.02595023301048606
More developed regions,10-14,2060,0.024768578801581478,0.026035969917217107
More developed regions,10-14,2065,0.024600218675663366,0.025856254869818157
More developed regions,10-14,2070,0.02436469140901252,0.025606087545137147
More developed regions,10-14,2075,0.0242210655475933,0.02545288934316338
More developed regions,10-14,2080,0.024233839091160808,0.025466598715072813
More developed regions,10-14,2085,0.024334798206782682,0.025572719431585157
More developed regions,10-14,2090,0.024398051373038847,0.02563826219279246
More developed regions,10-14,2095,0.02434158469980508,0.025577520601612103
More developed regions,10-14,2100,0.024178311126684386,0.025403902765979505
More developed regions,15-19,1950,0.04178223411305564,0.04183255197466925
More developed regions,15-19,1955,0.04170493851439677,0.0421780826671911
More developed regions,15-19,1960,0.036109762152900925,0.037008986789909916
More developed regions,15-19,1965,0.041596318734068265,0.04321121759856987
More developed regions,15-19,1970,0.04221218043875124,0.043884048141063586
More developed regions,15-19,1975,0.04191092450119895,0.04372032422306455
More developed regions,15-19,1980,0.04040342490162733,0.04251305942244946
More developed regions,15-19,1985,0.03705095796232739,0.03902088517549037
More developed regions,15-19,1990,0.03549510698291591,0.03716161360442074
More developed regions,15-19,1995,0.033720970003762354,0.03522591237131033
More developed regions,15-19,2000,0.03358070485315489,0.03514504430892633
More developed regions,15-19,2005,0.03297183128875451,0.034664666469293275
More developed regions,15-19,2010,0.029847712282793204,0.03145368198722351
More developed regions,15-19,2015,0.0270097778244639,0.028390466800199583
More developed regions,15-19,2020,0.026297684924126645,0.027624938545801246
More developed regions,15-19,2025,0.027342914798416232,0.028702257195072658
More developed regions,15-19,2030,0.02713046886178002,0.02847105150201243
More developed regions,15-19,2035,0.02626538669068239,0.027525435834928128
More developed regions,15-19,2040,0.02548491086340156,0.02669825610750767
More developed regions,15-19,2045,0.024935772674192294,0.026119891008174387
More developed regions,15-19,2050,0.024747833832066315,0.02592604167480526
More developed regions,15-19,2055,0.024980042810819975,0.026173941915748872
More developed regions,15-19,2060,0.025300472706898048,0.026514200935943876
More developed regions,15-19,2065,0.02538573720517268,0.02660527455856239
More developed regions,15-19,2070,0.025205045633466826,0.026413752468640198
More developed regions,15-19,2075,0.024947833582926394,0.02614043751755889
More developed regions,15-19,2080,0.024777184316023066,0.025958578955605403
More developed regions,15-19,2085,0.024764051410707696,0.02594489964397707
More developed regions,15-19,2090,0.024840409317827748,0.02602592860986201
More developed regions,15-19,2095,0.02488597546462184,0.026073664031290005
More developed regions,15-19,2100,0.024821244445658874,0.026003438085923217
More developed regions,20-24,1950,0.044580398124739205,0.0428119093787585
More developed regions,20-24,1955,0.03900720706130051,0.03868907835220897
More developed regions,20-24,1960,0.03911845429396134,0.03924613546208033
More developed regions,20-24,1965,0.03430599695434833,0.034872918528817826
More developed regions,20-24,1970,0.0398610545062586,0.040570061272067214
More developed regions,20-24,1975,0.04083978275757477,0.04207021272131047
More developed regions,20-24,1980,0.040868744725913696,0.04238842018380133
More developed regions,20-24,1985,0.03956808717914676,0.04121597255737099
More developed regions,20-24,1990,0.036375937355413744,0.03794641687981772
More developed regions,20-24,1995,0.03514981017204227,0.0364281561035674
More developed regions,20-24,2000,0.03366653735691427,0.03479834831334923
More developed regions,20-24,2005,0.03387241629686722,0.03520882159816211
More developed regions,20-24,2010,0.03319247016443575,0.03458382465370013
More developed regions,20-24,2015,0.030258972687823436,0.03172481078194743
More developed regions,20-24,2020,0.027453730682176946,0.028718155730044468
More developed regions,20-24,2025,0.026831015480272367,0.028022585996744447
More developed regions,20-24,2030,0.027991272216035982,0.029217547635784536
More developed regions,20-24,2035,0.027874026140391056,0.029085163950017274
More developed regions,20-24,2040,0.02707499902901309,0.02821454926787587
More developed regions,20-24,2045,0.026340988711560917,0.027439470611132735
More developed regions,20-24,2050,0.025826815947996344,0.026902672844184357
More developed regions,20-24,2055,0.02567000817126212,0.02674381091652361
More developed regions,20-24,2060,0.025927065823843683,0.027017685077771726
More developed regions,20-24,2065,0.026256948665173918,0.02736936985544872
More developed regions,20-24,2070,0.026333225166296853,0.02745103979882526
More developed regions,20-24,2075,0.026131633058981068,0.027239394029136353
More developed regions,20-24,2080,0.02584782320814456,0.026939329125149982
More developed regions,20-24,2085,0.02565069239184869,0.02673186385117293
More developed regions,20-24,2090,0.025613329290449814,0.02669348696290708
More developed regions,20-24,2095,0.02567240702738519,0.02675716794575713
More developed regions,20-24,2100,0.02570929609249239,0.026796657068207993
More developed regions,25-29,1950,0.04206695957389362,0.036579858128175546
More developed regions,25-29,1955,0.04146200386381778,0.03986441932834353
More developed regions,25-29,1960,0.03642951071921602,0.03652445312627886
More developed regions,25-29,1965,0.03693990631310624,0.037234746912967194
More developed regions,25-29,1970,0.03275214610894112,0.03342347139628719
More developed regions,25-29,1975,0.03853630340686027,0.039444341643663665
More developed regions,25-29,1980,0.039660205737836594,0.04054375945180893
More developed regions,25-29,1985,0.03992870227008097,0.04110384099924468
More developed regions,25-29,1990,0.03863693900533387,0.03986433990100479
More developed regions,25-29,1995,0.03608355850463454,0.03716609091220029
More developed regions,25-29,2000,0.0352519141910581,0.03607237194758159
More developed regions,25-29,2005,0.0340022527029955,0.0345968538240543
More developed regions,25-29,2010,0.033964275070296604,0.03474579840099517
More developed regions,25-29,2015,0.03346439931275908,0.03458327464410454
